,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,80,NZ,1562433196,85,-46.19,168.86,42.34,14.56
1,Namie,100,JP,1562433536,66,37.52,140.86,66.0,9.69
2,Miquelon,0,PM,1562433537,82,47.1,-56.38,57.2,4.7
3,Ipixuna,40,BR,1562433537,66,-1.76,-48.8,87.8,5.82
4,Vaini,98,IN,1562433537,86,15.34,74.49,78.34,11.05
5,Bambous Virieux,40,MU,1562433538,78,-20.34,57.76,73.4,6.93
6,Lakatoro,100,VU,1562433538,81,-16.11,167.42,78.52,10.09
7,Albany,1,US,1562433474,58,42.65,-73.75,91.99,8.05
8,Broome,75,GB,1562433538,82,52.47,1.45,62.6,5.82
9,Chapais,75,CA,1562433360,54,49.78,-74.86,59.0,17.22
10,Kruisfontein,15,ZA,1562433539,51,-34.0,24.73,60.52,11.45
11,Antofagasta,0,CL,1562433539,63,-23.65,-70.4,60.8,5.82
12,Mumias,40,KE,1562433539,64,0.34,34.49,71.6,3.18
13,Leningradskiy,0,RU,1562433233,68,69.38,178.42,52.78,9.46
14,Qaanaaq,83,GL,1562433197,53,77.48,-69.36,44.32,1.34
15,Buala,100,SB,1562433229,85,-8.15,159.59,78.34,9.26
16,Provideniya,59,RU,1562433203,54,64.42,-173.23,59.26,1.05
17,Hobart,65,AU,1562433212,93,-42.88,147.33,43.0,8.05
18,San Andres,100,PH,1562433541,89,13.32,122.68,77.44,5.35
19,Bluff,91,AU,1562433210,81,-23.58,149.07,60.88,21.39
20,Saint-Philippe,75,CA,1562433202,88,45.36,-73.48,82.0,5.82
21,Lyuban,90,BY,1562433541,77,52.8,28.0,57.28,7.2
22,Klaksvik,75,FO,1562433209,81,62.23,-6.59,46.4,16.11
23,Busselton,8,AU,1562433199,81,-33.64,115.35,50.0,16.13
24,Chokurdakh,100,RU,1562433202,81,70.62,147.9,41.62,13.71
25,San Patricio,0,PY,1562433268,48,-26.98,-56.83,52.6,3.76
26,Semnan,0,IR,1562433542,12,35.58,53.39,95.0,4.79
27,Tiksi,63,RU,1562433217,84,71.64,128.87,38.38,6.22
28,Punta Arenas,75,CL,1562433199,87,-53.16,-70.91,44.6,6.93
29,Santiago,90,PH,1562433543,93,16.69,121.54,72.22,2.82
30,San Javier,0,BR,1562433543,56,-27.87,-55.13,51.34,2.37
31,Moussoro,1,TD,1562433543,36,13.64,16.49,94.18,12.28
32,Lasa,0,CY,1562433225,79,34.92,32.53,84.2,4.7
33,Yellowknife,75,CA,1562433092,63,62.45,-114.38,62.6,2.24
34,Kahului,20,US,1562433220,65,20.89,-156.47,77.0,4.7
35,Ushuaia,90,AR,1562432931,93,-54.81,-68.31,39.2,11.41
36,Calabozo,100,VE,1562433545,71,8.92,-67.43,84.1,8.48
37,Rikitea,99,PF,1562433201,71,-23.12,-134.97,70.42,22.37
38,Hermanus,100,ZA,1562433198,75,-34.42,19.24,64.99,13.0
39,Cabo Rojo,40,PR,1562433546,66,18.09,-67.15,90.0,18.34
